,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
112,نجاة,4,1E8CKufq7EFqAuDoChfV12,العوازل ياما قالوا,spotify:track:1E8CKufq7EFqAuDoChfV12,0.892,0.41,0.22,0.000163,0.138,-9.396,0.0391,146.848,0.314,6
113,نجاة,5,58UzXwYzPFgHVqui7AoUwH,بان على حبه,spotify:track:58UzXwYzPFgHVqui7AoUwH,0.845,0.389,0.221,0,0.198,-10.227,0.0372,142.162,0.433,6
114,نجاة,6,7aw4CDDrI7sTSn6CSHYWJE,قلبك راح فين,spotify:track:7aw4CDDrI7sTSn6CSHYWJE,0.932,0.354,0.221,0,0.137,-9.873,0.0422,69.277,0.339,5
115,نجاة,1,5jtIj6YCLfkhALNxViPZeR,طول عمرى أحبك,spotify:track:5jtIj6YCLfkhALNxViPZeR,0.929,0.384,0.258,2.18e-05,0.323,-10.447,0.0347,126.287,0.473,6
116,نجاة,2,3FMLd0xrILFklTmWpY6TsY,غريبة منسية,spotify:track:3FMLd0xrILFklTmWpY6TsY,0.881,0.365,0.18,0,0.232,-10.391,0.0355,122.929,0.222,5
117,نجاة,3,2cRArsIYgA4eLp55gpnKyj,بكانى لما خلصت دموعى,spotify:track:2cRArsIYgA4eLp55gpnKyj,0.849,0.366,0.329,0,0.247,-7.531,0.0332,135.148,0.475,1
118,نجاة,5,3ZNakvRe7i06kxqpxeHCCS,سامحنى تبت خلاص,spotify:track:3ZNakvRe7i06kxqpxeHCCS,0.964,0.32,0.151,7.27e-05,0.105,-12.337,0.0385,107.379,0.215,5
119,نجاة,6,4FHMygzTIJqQokcD85Jke4,حقك على وسامح,spotify:track:4FHMygzTIJqQokcD85Jke4,0.877,0.459,0.232,0,0.104,-10.876,0.0396,124.371,0.277,0
120,El Hob Shatter- Rare Recording,1,3g1IydVwEomaja4xVsA7l8,El Hob Shatter,spotify:track:3g1IydVwEomaja4xVsA7l8,0.315,0.468,0.565,2.95e-06,0.0537,-6.535,0.0352,118.202,0.465,13
121,El Hob Shatter- Rare Recording,2,1dLGgrenbNne6Pi7LcLndP,Sayad Al Touyour,spotify:track:1dLGgrenbNne6Pi7LcLndP,0.737,0.407,0.54,0,0.0694,-7.681,0.0609,132.271,0.345,11
122,El Hob Shatter- Rare Recording,3,2rTAYjviTCfXnYVdzDCxoM,Batwanness Beek,spotify:track:2rTAYjviTCfXnYVdzDCxoM,0.314,0.307,0.861,0.00628,0.0679,-3.473,0.216,173.273,0.573,21
123,Allah Karim,1,44dRvVXSRPPa0WHPG90jgK,El Sabri Tayib,spotify:track:44dRvVXSRPPa0WHPG90jgK,0.144,0.625,0.9,9.74e-06,0.313,-7.332,0.0768,145.031,0.723,20
124,Allah Karim,2,5Kj3uRMKxpb4PQbuphbHpx,Allah Karim,spotify:track:5Kj3uRMKxpb4PQbuphbHpx,0.419,0.682,0.805,0,0.212,-7.822,0.118,96.985,0.725,23
125,Allah Karim,3,6DePOOYN7RwgAswgk5eW3N,El Ayam Di So'eba Shwaya,spotify:track:6DePOOYN7RwgAswgk5eW3N,0.479,0.64,0.701,3.94e-06,0.0875,-6.259,0.0451,84.962,0.535,14
126,Allah Karim,4,1XiGXlwmLQPb6Q6mKMzkso,Shou Kran,spotify:track:1XiGXlwmLQPb6Q6mKMzkso,0.19,0.629,0.838,2.33e-06,0.117,-6.7,0.0629,92.039,0.746,21
127,Allah Karim,5,4ybN9TDCr59Z5yjy36B2Yn,Min Hena W Rayeh,spotify:track:4ybN9TDCr59Z5yjy36B2Yn,0.287,0.42,0.583,2.19e-06,0.138,-8.746,0.047,159.715,0.296,13
128,Allah Karim,6,3lrn4dTtqFIWFKmdUgRcq2,El Dahab Ya Habibi,spotify:track:3lrn4dTtqFIWFKmdUgRcq2,0.505,0.606,0.744,0,0.273,-7.283,0.114,174.058,0.738,14
129,Allah Karim,7,2d7CrMpeHV4sYUxjshwydv,La Trouh,spotify:track:2d7CrMpeHV4sYUxjshwydv,0.478,0.553,0.648,0,0.19,-6.781,0.0758,135.053,0.646,19
130,Beirut Concert - Live Rare Recordings,1,2dmTUZDs4k4K8aNDz6BaIO,Bethbneeni,spotify:track:2dmTUZDs4k4K8aNDz6BaIO,0.196,0.346,0.81,1.8e-06,0.576,-4.76,0.135,162.815,0.687,7
